"character" "dialogue"
"109" "READ" "I had nothing to do with it. General Rieekan thinks it is dangerous for any ships to leave the system until we have activated the energy shield."
"110" "HAN" "That's a good story. I guess you just can't let a hot guy like me out of your sight."
"111" "READ" "I don't know where you get your delusions from, laser brain."
"112" "HAN" "Laugh at that, fuzz ball. But you didn't see us alone in the south passage."
"113" "HAN" "She expressed her true feelings for me."
"114" "READ" "My...! Why, you stuck-up,... stupid,... scruffy-looking... nerf-herder!"
"115" "HAN" "Who's scruffy looking? I must have hit her pretty close to the mark to get her all riled up like that, huh, kid?"
"116" "READ" "Now, I guess you still don't know everything about women?"
"117" "ANNOUNCER" "Headquarters personnel, report to the command center."
"118" "HAN" "Calm down."
"119" "THREEPIO" "Excuse me, please."
"120" "RIEEKAN" "Princess... we have a visitor."
"121" "RIEEKAN" "We picked up something outside the base in zone twelve, moving east."
"122" "SENIOR CONTROLLER" "It's metal."
"123" "READ" "Then it can't be one of those creatures that attacked Luke."
"124" "HAN" "It could be a speeder, one of ours."
"125" "SENIOR CONTROLLER" "No. Hold on - there's something very faint coming."
"126" "THREEPIO" "Sir, I am fluent in six million forms of communication. This signal is not used by the Alliance. It could be an Imperial code."
"127" "HAN" "It's not friendly, whatever. Come on, Chewie, let's take a look."
"128" "RIEEKAN" "Send Rouges Ten and Eleven to station three and eight."
"129" "HAN" "I'm afraid there isn't much left."
"130" "READ" "What happened?"
"131" "HAN" "Droid of some kind. I didn't hit it that hard. It must have self-destructed."
"132" "LEIA" "An Imperial probe droid."
"133" "HAN" "It's a good bet the Empire knows we're here."
"134" "RIEEKAN" "We'd better start the evacuation."
"135" "PIETT" "Admiral."
"136" "OZZEL" "Yes, Captain"
"137" "PIETT" "I think we have something, sir. The report is just a fragment."
"138" "OZZEL" "We have thousands of probe droids scouring the galaxy. I want proof, not clues!"
"139" "PIETT" "The visuals indicate readings of life."
"140" "OZZEL" "It could mean anything. If we follow all the clues..."
"141" "PIETT" "But, sir, the Hoth system is supposed to be devoid of human forms."
"142" "VADER" "Did you find anything?"
"143" "PIETT" "Yes, my lord."
"144" "VADER" "That's it. The rebels are there."
"145" "OZZEL" "My lord, there are so many unknown settlements. They could be smugglers, they could be..."
"146" "VADER" "That's the system. And I'm sure Skywalker is with them. Set your course for the Hoth system. General Veers, prepare you men."
"147" "REBEL CAPTAIN" "Groups seven and ten will remain behind to fly the speeders. Once each transport is loaded, evacuation control will give the go-ahead for immediate launch."
"148" "REBEL FIGHTER" "Okay, sir."
"149" "HAN" "Okay, that's it. Try it... Turn it off! Turn it off! Turn it off! Turn it off!"
"150" "MEDICAL DROID" "Sir, it will take a while to evacuate the T-47s."
"151" "LUKE" "Well, forget about the heavy equipment. There's plenty of time to get the smaller modules onto the transports."
"152" "MEDICAL DROID" "Careful, sir."
"153" "LUKE" "Thank you."
"154" "LUKE" "Chewie, take care of yourself, okay?"
"155" "HAN" "Hey, kid. There must be a reason for this. Check the other end. Wait a second. Are you okay?"
"156" "LUKE" "Yes."
"157" "HAN" "Be careful."
"158" "LUKE" "You too."
"159" "CONTROLLER" "General, there is a fleet of Star Destroyers exiting hyperspace in sector four."
"160" "RIEEKAN" "Redirect all energy to the energy shield. We have to hold them until all transports move away. Prepare for ground attack."
"161" "VADER" "What is it, General?"
"162" "VEERS" "My lord, the fleet has moved out of light speed. Com-Scan has detected an energy field protecting an area around the sixth planet of the Hoth system. The field is strong enough to deflect any bombardment. "
"163" "VADER" "The Rebels have been alerted to our presence. Admiral Ozzel dropped from light speed very close to the system."
"164" "VEERS" "He thought surprise was wiser..."
"165" "VADER" "He is as clumsy as he is stupid. General, prepare your troops for a surface attack."
"166" "VIAR" "Yes, my lord."
"167" "OZZEL" "Lord Vader, the fleet has left lightspeed, and we are preparing to... Aaagh!"
"168" "VADER" "You have failed me for the last time, Admiral. Captain Piett."
"169" "PIETT" "Yes, my lord."
"170" "VADER" "Prepare to land troops beyond the energy shield and deploy the fleet so nothing leaves this system. You are in command now, Admiral Piett."
"171" "PIETT" "Thank you, Lord Vader."
"172" "READ" "All troop carriers will gather at the north entrance. Heavy transport ships will leave as soon as they are loaded. Only two fighter escorts per ship. The energy shield can only be opened for a short period of time, so you will have to stay very close to your transports."
"173" "HOBBIE" "Two fighters against a Star Destroyer?"
"174" "READ" "The ion cannon will fire several rounds to ensure that any enemy ships are out of its flight path. When you pass through the energy shield, proceed directly to the rendezvous point. Understood?"
"175" "PILOTS" "Right. Right."
"176" "READ" "Good luck."
"177" "DERLIN" "Okay. Everyone to their stations. Let's go!"
"178" "RIEEKAN" "Your main target will be the power generators. Prepare to open the shield."
"179" "CONTROLLER" "Sir, rebel ships are entering our sector."
"180" "CAPTAIN" "Good. Our first catch of the day."
"181" "WOMAN CONTROLLER" "Hold on, ion control....Fire!"
"182" "ANNOUNCER" "The first transport is far away."
"183" "DACK" "Feeling okay, sir?"
"184" "LUKE" "Like new, Dack. What about you?"
"185" "DACK" "Right now I feel like I could take on the entire Empire alone."
"186" "LUKE" "I know what you mean."
"187" "TRENCH OFFICER" "Three-T-Eight Echo Station."
"188" "TRENCH OFFICER" "We have spotted Imperial walkers!"
"189" "CONTROLLER" "Imperial Walkers on North Ridge."
"190" "LUKE" "Echo station Five-Seven. We're on our way."
"191" "LUKE" "Alright boys, stand your ground now."
"192" "DACK" "Luke, I have no approach vector. I'm not ready."
"193" "LUKE" "Steady, Dack. Attack pattern delta. Go now!"
"194" "LUKE" "Okay, I'm coming in."
"195" "LUKE" "Hobbie, are you still with me?"
"196" "LUKE" "That armor is too strong for blasters."
"197" "LUKE" "Rouge Group, use your harpoons and tow lines. Go for the legs. It might be our only chance to stop them. Alright, hold on, Dack."
"198" "DACK" "Luke, we have a malfunction in the fire control. I'm going to have to cut the auxiliary."
"199" "LUKE" "Hang in there. Hang in there, Dack. Get ready to fire that towline."
"200" "LUKE" "Dack? Dack!"
"201" "VEERS" "Yes, Lord Vader. I have reached the main power generator. The shield will fall in moments. You can begin landing."
"202" "LUKE" "Rouge Three."
"203" "WEDGE" "Copy, Rouge Leader"
"204" "LUKE" "Wedge, I lost my gunner. You're going to have to make that shot. I'll cover you. Put up your harpoon. Follow me on the next pass."
"205" "CUNHA" "Approaching, Rouge Leader."
"206" "LUKE" "Steady, Rouge Two"
"207" "WEDGE" "Activate harpoon."
"208" "WEDGE" "Good shot, Janson."
"209" "CUNHA" "One more pass."
"210" "JANSON" "Approaching. Once again."
"211" "JANSON" "One more."
"212" "JANSON" "Fire out! Let her go!"
"213" "WEDGE" "Disconnect cable."
"214" "JANSON" "Cable disconnected."
"215" "TRENCH OFFICER" "Come on!"
"216" "WEDGE" "Whooha!! That got him!"
"217" "LUKE" "I understand, Wedge. Good work."
"218" "RIEEKAN" "I don't think we can protect two transports at the same time."
"219" "READ" "It's risky, but we can't hold out much longer. We have no choice."
"220" "RIEEKAN" "Launch patrols."
"221" "READ" "Evacuate remaining ground personnel."
"222" "HAN" "No, no! No! This one goes there, that one goes there. right?"
"223" "THREEPIO" "Artoo, you take good care of Master Luke now, understand? And... take care of yourself. Oh, dear, oh, dear."
"224" "VEERS" "All troops will disembark for ground attack. Prepare to hit the main generator."
"225" "LUKE" "Rouge Two, are you okay?"
"226" "ZEV" "Yes. I'm with you, Leader Rouge."
"227" "LUKE" "Let's put the harpoon in. I'll cover you."
"228" "ZEV" "Coming this way."
"229" "LUKE" "Watch out for the crossfire, boys."
"230" "ZEV" "Set to position three. Steady."
"231" "LUKE" "Stay steady and down."
"232" "LUKE" "Hobbie, I got hit!"
"233" "HAN" "Are you okay?"
"234" "READ" "Why are you still here?"
"235" "HAN" "I heard the command center was hit."
"236" "READ" "You are allowed to leave."
"237" "HAN" "Don't worry. I'll leave. First I'll take you to your ship."
"238" "THREEPIO" "Your Highness, we must take this last transport. It is our only hope."
"239" "READ" "Send all troops from sector twelve to the southern slope to protect the fighters."
"240" "ANNOUNCER" "Imperial troops have entered the base."
"241" "HAN" "Come on...that's it."
"242" "READ" "Give the evacuation code signal. And get to your transports!"
"243" "PRINCIPAL CONTROLLER" "K-one-zero... all troops disengage."
"244" "THREEPIO" "Oh! Wait for me!"
"245" "OFFICER" "Begin retreat!"
"246" "SECOND OFFICER" "Back off!"
"247" "VIAR" "Distance to power generators?"
"248" "PILOT" "One-seven, decimal two-eight."
"249" "VIAR" "Target. Maximum firepower."
"250" "HAN" "Transportation, this is Solo. Better take off -- I can't get to you. I'll get the princess out in the Falcon."
"251" "THREEPIO" "But... but... but... where are you going? Uh... come back!!"
"252" "THREEPIO" "Wait! Wait for me! Wait! Stop!"
"253" "THREEPIO" "How typical."
"254" "HAN" "Let's go."
"255" "HAN" "Hurry up, Goldenrod, or you'll be a permanent resident!"
"256" "THREEPIO" "Wait! Wait!"
"257" "HAN" "How is that?"
"258" "READ" "Would it help if I got out and pushed?"
"259" "HAN" "You can."
"260" "THREEPIO" "Captain Solo, Captain Solo... sir, may I suggest that you..."
"261" "THREEPIO" "It can wait."
"262" "READ" "The bucket of bolts will never get us through this blockade."
"263" "HAN" "This baby still has some surprises in it, honey."
"264" "HAN" "Come on! Come on! Change. Let's hope we don't have a burnout."
"265" "HAN" "See?"
"266" "READ" "Someday you're going to make a mistake, and I hope I'm there to see it."
"267" "HAN" "Punch!"
"268" "LUKE" "Artoo! Prepare her for takeoff."
"269" "WEDGE" "Good luck, Luke. See you at the date."
"270" "LUKE" "Don't worry, Artoo. We're coming, we're coming."
"271" "LUKE" "Nothing's wrong, Artoo. I'm just setting a new course."
"272" "LUKE" "We will not regroup with the others."
"273" "LUKE" "We're heading to the Dagobah system."
"274" "LUKE" "Yes, Artoo?"
"275" "LUKE" "Okay. I'd like to keep you on manual control for a while."
"276" "HAN" "I saw them! I saw them!"
"277" "READ" "See what?"
"278" "HAN" "Star Destroyers, two of them, heading straight for us."
"279" "THREEPIO" "Sir, sir! May I suggest..."
"280" "HAN" "Shut it up or shut it down! Check the deflector shield!"
"281" "HAN" "Ah, great. Well, we can still beat them."
"282" "IMPERIAL OFFICER" "Take evasive action!"
"283" "HAN" "Prepare to jump to the speed of light."
"284" "THREEPIO" "But, sir!"
"285" "READ" "They're getting closer!"
"286" "HAN" "Oh yeah? Check this out."
"287" "READ" "Watch what?"
"288" "HAN" "I think we're in trouble."
"289" "THREEPIO" "If I may say so, sir, I noticed earlier that the hyperdrive motivator was damaged. It's impossible to go at the speed of light!"
"290" "HAN" "We're in trouble!"
"291" "HAN" "Horizontal reinforcements...!"
"292" "HAN" "Alluvial buffers...! Well, that's not it."
"293" "HAN" "Bring me the hydraulic wrenches!"
"294" "HAN" "I don't know how we're going to get out of this."
"295" "HAN" "Oww! Chewie!"
"296" "HAN" "That wasn't a laser blast! Something hit us."
"297" "READ" "Han, get up here!"
"298" "HAN" "Come on, Chewie!"
"299" "READ" "Asteroids!"
"300" "HAN" "Oh no! Chewie, put it two-seven-one."
"301" "READ" "What are you doing? Aren't you actually walking into an asteroid field?"
"302" "HAN" "They'd be crazy to follow us, wouldn't they?"
"303" "READ" "You don't have to do that to impress me."
"304" "THREEPIO" "Sir, the odds of successfully navigating an asteroid field are approximately three thousand, seven hundred and twenty to one."
"305" "HAN" "Never tell me the odds!"
"306" "HAN" "You said you wanted to be around when I made a mistake; well, that might be it, honey."
"307" "READ" "I take it back. We'll get pulverized if we stay here much longer."
"308" "HAN" "I won't argue with that."
"309" "THREEPIO" "Sprayed?"
"310" "HAN" "I'm going to get close to one of the big ones."
"311" "READ" "Closer?"
"312" "THREEPIO" "Closer?!"
"313" "THREEPIO" "Ah, that's suicide!"
"314" "HAN" "There. It looks really good."
"315" "READ" "What looks really good?"
"316" "HAN" "Yes. That will do fine."
"317" "THREEPIO" "Excuse me, ma'am, but where are we going?"
"318" "READ" "I hope you know what you're doing."
"319" "HAN" "Yes, me too."
"320" "LUKE" "Yes, that's it. Dagobah."
"321" "LUKE" "No, I'm not changing my mind about that. I'm not taking any cities or technology. Massive life form readings, though. There's something alive down there..."
"322" "LUKE" "Yes, I'm sure it's perfectly safe for droids."
"323" "LUKE" "I know, I know! All the scopes are dead. I can't see anything! Just wait, I'll start the landing cycle..."
"324" "LUKE" "No, Artoo, stay there. I'll take a look."
"325" "LUKE" "Artoo?"
"326" "LUKE" "Artoo! Where are you?"
"327" "LUKE" "Artoo! Be more careful."
"328" "LUKE" "Artoo -- that way!"
"329" "LUKE" "Artoo!"
"330" "LUKE" "Oh no! Are you okay? Come on. You're lucky it doesn't taste too good. Anything broken?"
"331" "LUKE" "If you're saying that coming here was a bad idea, I'm starting to agree with you. Oh, Artoo, what are we doing here? It's like... something out of a dream, or, me I don't know. Maybe I'm just going crazy."
"332" "VADER" "Yes, Admiral?"
"333" "PIETT" "Our ships have spotted the Millennium Falcon, sir. But... it has entered an asteroid field and we can't risk it..."
"334" "VADER" "Asteroids don't worry me, Admiral. I want that ship, not excuses."
"335" "PIETT" "Yes, sir."
"336" "HAN" "I'm going to shut down everything but the emergency power systems."
"337" "THREEPIO" "Sir, I'm almost afraid to ask, but... does that include shutting me down too?"
"338" "HAN" "No, I need you to talk to Falcon, find out what's wrong with the hyperdrive."
"339" "THREEPIO" "Sir, it is quite possible that this asteroid is not entirely stable."
"340" "HAN" "Not quite stable? I'm glad you're here to tell us these things. Chewie, take the professor in the back and turn him on the hyperdrive."
"341" "THREEPIO" "Ah! Sometimes I just don't understand human behavior. After all, I'm just trying to do my job in the best way..."
"342" "READ" "Let go."
"343" "HAN" "Sshh!"
"344" "READ" "Let go, please."
"345" "HAN" "Don't get excited."
"346" "READ" "Captain, being held by you isn't enough to turn me on."
"347" "HAN" "Sorry, honey. We don't have time for anything else."
"348" "LUKE" "Ready for some energy? Okay. Let's see now. Put that in there. There you go."
"349" "LUKE" "Now all I have to do is find this Yoda... if he even exists."
"350" "LUKE" "Still... there's something familiar about this place. I feel like... I don't know..."
"351" "STRANGE VOICE" "Feel like what?"
"352" "LUKE" "Like we're being watched!"
"353" "CREATURE" "Away with your weapon! I mean you no harm."
"354" "CREATURE" "I'm wondering, why are you here?"
"355" "LUKE" "I'm looking for someone."
"356" "CREATURE" "Looking for? Found someone, do you have it, I would say, hmmm?"
"357" "LUKE" "Okay."
"358" "CREATURE" "I can help you. Yes, mmmm."
"359" "LUKE" "I don't think so. I'm looking for a great warrior."
"360" "CREATURE" "Ahhh! A great warrior. Wars don't make a great."
"361" "LUKE" "Put it down. Hey! That's my dinner."
"362" "CREATURE" "How do you get so big, eating food like that?"
"363" "LUKE" "Listen, friend, we didn't want to land in that puddle, and if we could get our ship out, we would, but we can't, so why don't you..."
"364" "CREATURE" "Ah, can't you get your ship out?"
"365" "LUKE" "Hey, you could have broken that. Don't do that. Ohhh... you're making a mess. Hey, give it to me!"
"366" "CREATURE" "Mine! Or I won't help you."
"367" "LUKE" "I don't want your help. I want my lamp back. I'm going to need it to get out of this slimy mess."
"368" "CREATURE" "Mudhole? Slimy? This is my home."
"369" "CREATURE" "Ah, ah, ah!"
"370" "LUKE" "Ah, Artoo, let him have it."
"371" "CREATURE" "Mine! Mine!"
"372" "LUKE" "Artoo!"
"373" "CREATURE" "Mine!"
"374" "CREATURE" "Mine!"
"375" "LUKE" "Now will you move on, little friend? We have a lot of work to do."
"376" "CREATURE" "No! No, no! Stay and help him, I will. Find your friend, hmm?"
"377" "LUKE" "I'm not looking for a friend, I'm looking for a Jedi Master."
"378" "CREATURE" "Oohhh. Jedi Master. Yoda. You seek Yoda."
"379" "LUKE" "Do you know him?"
"380" "CREATURE" "Mmm. Take you to him, I will. Yes, yes. But now, we must eat. Come. Good food. Come."
"381" "CREATURE" "Come, come."
"382" "LUKE" "Stay here and take care of the camp, Artoo."
"383" "THREEPIO" "Oh, where is Artoo when I need him?"
"384" "THREEPIO" "Sir, I don't know where your ship learned to communicate, but it has the most peculiar dialect. I believe, sir, it says that the power coupling on the negative axis has been polarized. I'm afraid you will have to replace it ."
"385" "HAN" "Well, of course I'll have to replace it."
"386" "HAN" "Here! And Chewie..."
"387" "HAN" "...I think it's best to replace the negative power coupling."
"388" "HAN" "Hey, Your Honor, I'm just trying to help."
"389" "READ" "Could you please stop calling me that?"
"390" "HAN" "Sure, Leia."
"391" "READ" "Ah, sometimes you make it so difficult."
"392" "HAN" "I like it, I really do. You could be a little nicer, though. Come on, admit it. Sometimes you think I'm okay."
"393" "READ" "Occasionally maybe... when you're not acting like a creep."
"394" "HAN" "Scaundrel? Scoundrel? I like the sound of that."
"395" "READ" "Stop it."
"396" "HAN" "Stop what?"
"397" "READ" "Stop it! My hands are dirty."
"398" "HAN" "My hands are dirty too. What are you afraid of?"
"399" "READ" "Scared?"
"400" "HAN" "You're shaking."
"401" "READ" "I'm not shaking."
"402" "HAN" "You like me because I'm a scoundrel. There aren't enough scoundrels in your life."
"403" "READ" "I happen to like nice men."
"404" "HAN" "I'm a good man."
"405" "READ" "No, you're not. You're..."
"406" "THREEPIO" "Sir, sir! I have isolated the reverse power flow coupling."
"407" "HAN" "Thank you. Thank you very much."
"408" "THREEPIO" "Ah, you're welcome, sir."
"409" "NEEDA" "...and that, Lord Vader, was the last time they appeared in any of our sights. Considering the amount of damage we took, they must have been destroyed."
"410" "VADER" "No, Captain, they are alive. I want all available ships to sweep the asteroid field until they are found."
"411" "PIETT" "Lord Vader."
"412" "VADER" "Yes, Admiral, what is it?"
"413" "PIETT" "The Emperor orders you to make contact with him."
"414" "VADER" "Move the ship out of the asteroid field so we can send a clear transmission."
"415" "PIETT" "Yes, my lord."
"416" "VADER" "What is your order, my master?"
"417" "EMPEROR" "There is a great disturbance in the Force."
"418" "VADER" "I felt it."
"419" "EMPEROR" "We have a new enemy - Luke Skywalker."
"420" "VADER" "Yes, my master."
"421" "EMPEROR" "He could destroy us."
"422" "VADER" "He's just a boy. Obi-Wan can't help him anymore."
"423" "EMPEROR" "The Force is strong with him. Skywalker's son must not become a Jedi."
"424" "VADER" "If he could be transformed, he would become a powerful ally."
"425" "EMPEROR" "Yes. Yes. He would be a great asset. Can it be done?"
"426" "VADER" "He will join us or die, my master."
"427" "LUKE" "Look, I'm sure it's delicious. I just don't understand why we can't see Yoda right now."
"428" "CREATURE" "Patience! For the Jedi it's time to eat too. Eat, eat. Hot. Good food, hm? Good, hmm?"
"429" "LUKE" "How far away is Yoda? Will it take us a long time to get there?"
"430" "CREATURE" "Not far. Yoda not far. Patience. Soon you will be with him. Rootleaf, I cook. Why does he want you to become a Jedi? Hm?"
"431" "LUKE" "Mostly because of my dad, I guess."
"432" "CREATURE" "Ah, your father. Powerful Jedi was he, powerful Jedi, mmm."
"433" "LUKE" "Oh, come on. How can you know my father? You don't even know who I am. Oh, I don't even know what I'm doing here. We're wasting our time. ."
"434" "CREATURE" "I can't teach him. The boy has no patience."
"435" "BEN" "He will learn patience."
"436" "YODA" "Hmmm. Lots of anger in him, like his father."
"437" "BEN" "Was I different when you taught me?"
"438" "YODA" "Hah. He's not ready."
"439" "LUKE" "Yoda! I'm ready. I...Ben! I can be a Jedi. Ben, tell him I'm ready."
"440" "YODA" "Ready, are you? What do you know? For eight hundred years I have trained Jedi. My own counsel I will keep as to who should be trained! A Jedi must have the deepest commitment, the most serious mind. This one I watched a long time ago. Didn't care where he was. Hmm? What he was doing. Hmph. Adventure. Heh! Excitement. Heh! A Jedi doesn't crave such things. You're reckless!"
"441" "BEN" "Me too, if you remember."
"442" "YODA" "He's too old. Yes, too old to begin training."
"443" "LUKE" "But I learned so much."
"444" "YODA" "Will he finish what he started?"
"445" "LUKE" "I won't fail you - I'm not afraid."
"446" "YODA" "Oh, you will be. You will be."
"447" "THREEPIO" "Sir, if I may have an opinion..."
"448" "HAN" "I'm not really interested in your opinion, Threepio."
"449" "READ" "There's something out there."
"450" ​​"HAN" "Where?"
"451" "READ" "Outside, in the cave."
"452" "THREEPIO" "There it is. Listen! Listen!"
"453" "HAN" "I'm going outside."
"454" "READ" "Are you crazy?!"
"455" "HAN" "I just put this bucket together. I'm not going to let anything destroy it."
"456" "READ" "Then I'll go with you."
"457" "THREEPIO" "I think it would be better if I stayed here and guarded the ship. Oh, no."
"458" "READ" "That floor sure looks weird. It doesn't look like stone at all."
"459" "HAN" "There's a lot of humidity in here."
"460" "READ" "I don't know. I have a bad feeling about this."
"461" "HAN" "Yes."
"462" "HAN" "Careful!"
"463" "HAN" "Yeah, that's what I thought. Mynock. Chewie, check the rest of the ship, make sure there aren't any more trapped. They're chewing on the power cords."
"464" "READ" "Mynocks?"
"465" "HAN" "Go inside. We'll clean them up if there are any more."
"466" "THREEPIO" "Ohhh! Go away! Go away! Stupid thing. Shoo! Shoo!"
"467" "HAN" "Wait a minute..."
"468" "HAN" "Alright, Chewie, let's get out of here!"
"469" "READ" "The Empire is still out there. I don't think it's wise..."
"470" "HAN" "There is no time to discuss this as a committee."
"471" "READ" "I'm not a committee!"
"472" "READ" "You can't jump to the speed of light in this asteroid field..."
"473" "HAN" "Sit down, honey. We're taking off!"
"474" "THREEPIO" "Look!"
"475" "HAN" "I see, I see."
"476" "THREEPIO" "We are doomed!"
"477" "READ" "The cave is collapsing."
"478" "HAN" "This isn't a cave."
"479" "READ" "What?"
