"character" "dialogue"
"176" "LUKE" "Let's go!"
"177" "LUKE" "Come on! And don't forget the droids."
"178" "LANDO" "We're on our way."
"179" "HAN" "I don't know. All I can see is a bunch of blown sand!"
"180" "READ" "That's all any of us can see."
"181" "HAN" "Then I think I'm getting better."
"182" "HAN" "I gotta admit, kid, you were pretty good out there."
"183" "LUKE" "I had a lot of help. Don't think about anything."
"184" "HAN" "No, I'm thinking about it a lot. That carbon freeze was the closest thing to death there is. And it wasn't just sleeping. It was a big waking nothingness!"
"185" "LUKE" "See you at the fleet."
"186" "HAN" "Why don't you leave that crate and come with us?"
"187" "LUKE" "I have a promise I must keep first... with an old friend."
"188" "HAN" "I guess I owe you some thanks too, Lando."
"189" "LANDO" "I figured if I left you frozen like that you'd only give me bad luck for the rest of my life, so I'd better unfreeze you sooner or later."
"190" "READ" "He means You're welcome."
"191" "LANDO" "Come on, let's get out of this miserable ball of dust."
"192" "LUKE" "Meet you at the fleet."
"193" "READ" "Quick. The Alliance should already be assembled."
"194" "LUKE" "I will."
"195" "HAN" "Hey, Luke, thanks. Thanks for coming after me. Now I owe you one."
"196" "LUKE" "That's right, Artoo. We're heading to the Dagobah system. I have a promise to keep... with an old friend."
"197" "EMPEROR" "Stand up, my friend."
"198" "VADER" "The Death Star will be completed on schedule."
"199" "EMPEROR" "You have done well, Lord Vader. And now I sense that you wish to continue your search for young Skywalker."
"200" "VADER" "Yes, my Master."
"201" "EMPEROR" "Patience, my friend. In time he will seek you out. And when he does, you must bring him before me. He has grown stronger. Only together can we turn him to the dark side of the Force . . ."
"202" "VADER" "As you wish."
"203" "EMPEROR" "Everything is happening as I predicted."
"204" "YODA" "Hmm. That face you make. Do I look that old to young eyes?"
"205" "LUKE" "No... of course not."
"206" "YODA" "Yes, yes! Sick I have become. Old and weak. When I reach nine hundred years old, I won't look so pretty. Hmm?"
"207" "YODA" "Soon I will rest. Yes, sleep forever. I have won, I have."
"208" "LUKE" "Master Yoda, you cannot die."
"209" "YODA" "Strong am I with the Force...but not too much! Dusk is upon me and soon night must fall. That is the way of things...the way of the Force."
"210" "LUKE" "But I need your help. I came back to complete the training."
"211" "YODA" "You don't need any more training. You already know what you need."
"212" "LUKE" "So I'm a Jedi?"
"213" "YODA" " Ohhh . Not yet. One thing remains: Vader. You must confront Vader. Then, only then, will you be a Jedi. And you will face him."
"214" "LUKE" "Master Yoda... Is Darth Vader my father?"
"215" "YODA" " Mmm... rest I need. Yes... rest."
"216" "LUKE" "Yoda, I need to know."
"217" "YODA" "Your father he is."
"218" "YODA" "Told you, didn't I?"
"219" "LUKE" "Yes."
"220" "YODA" "This is unexpected, and regrettable.."
"221" "LUKE" "Unhappy that I know the truth?"
"222" "YODA" "No. Unfortunately you rushed to face him... that training was incomplete. You were not ready for the burden."
"223" "LUKE" "Well, I'm sorry."
"224" "YODA" "Remember, a Jedi's strength flows from the Force. But beware. Anger, fear, aggression. The dark side is them. Once you begin to walk the dark path, forever it will rule your destiny."
"225" "YODA" "Luke...Luke...No...Do not underestimate the Emperor's powers, or you will suffer your father's fate, you will. Luke, when I am gone I, the last of the Jedi you it will be. Luke, the Force runs strong in your family. Pass on what you've learned, Luke... There... is... another... Heaven... Heaven... Wanderer."
"226" "LUKE" "I can't do this, Artoo. I can't go on alone."
"227" "BEN" "Yoda will always be with you."
"228" "LUKE" "Obi-Wan! Why didn't you tell me?"
"229" "LUKE" "You told me that Vader betrayed and murdered my father."
"230" "BEN" "Your father was seduced by the dark side of the Force. He stopped being Anakin Skywalker and became Darth Vader. When that happened, the good man that was your father was destroyed. So what did I tell you It was true... from a certain point of view."
"231" "LUKE" "A certain point of view!"
"232" "BEN" "Luke, you will discover that many of the truths we cling to depend greatly on our own point of view."
"233" "BEN" "I don't blame you for being angry. If I was wrong in what I did, it certainly wouldn't have been the first time. See, what happened to your father was my fault."
"234" "BEN" "Anakin was a good friend."
"235" "BEN" "When I met him, his father was already a great pilot. But I was impressed by how strong the Force was with him. I decided to train him as a Jedi. I thought I could instruct him as well as Yoda. I was wrong. My pride had dire consequences for the galaxy."
"236" "LUKE" "There's still good in him."
"237" "BEN" "I also thought he could turn to the good side. It couldn't be done. He's more machine now than man. Twisted and evil."
"238" "LUKE" "I can't do this, Ben."
"239" "BEN" "You cannot escape your fate."
"240" "LUKE" "I tried to stop him once. I couldn't."
"241" "BEN" "Vader humiliated you when you met him, Luke... Vader then, you could have finished your training here with Yoda. You would have been prepared."
"242" "LUKE" "But I had to help my friends."
"243" "BEN" "And you helped them? They were the ones who had to save you. You accomplished little by returning prematurely, I'm afraid."
"244" "LUKE" "I found out that Darth Vader was my father."
"245" "BEN" "To be a Jedi, Luke, you must face and go beyond the dark side - the side your father could not get past. Impatience is the easiest door - for you, like your father. Only , your father was seduced by what he found on the other side of the door, and you stood your ground. You are no longer so reckless now, Luke. You are strong and patient. And now, you must face Darth Vader again!"
"246" "LUKE" "I can't kill my own father."
"247" "BEN" "So the Emperor has already won. You were our only hope."
"248" "LUKE" "Yoda spoke of another."
"249" "BEN" "The other one he talked about is your twin sister."
"250" "LUKE" "But I don't have a sister."
"251" "BEN" "Hmm. To protect you two from the Emperor, you were hidden from your father when you were born. The Emperor knew, as I did, that if Anakin had children, they would be a threat to him. That's why your sister remains safely anonymous."
"252" "LUKE" "Leia! Leia is my sister."
"253" "BEN" "Your perception serves you well. Bury your feelings deep inside, Luke. They do you credit. But they can be made to serve the Emperor."
"254" "BEN" "When your father left, he didn't know your mother was pregnant. Your mother and I knew he would find out eventually, but we wanted to keep you two as safe as possible, for as long as possible. So I told you I took Leia to live with my brother Owen on Tatooine... and her mother took Leia to live as Senator Organa's daughter on Alderaan."
"255" "BEN" "The Organa family was well-born and politically quite powerful in that system. Leia became a princess by virtue of bloodline... no one knew she had been adopted, of course. But it was a title. without power royal, as Alderaan had long been a democracy. Still, the family continued to be politically powerful, and Leia, following in her adoptive father's path, became a senator as well. That's not all she became, of course...she became the leader of her cell in the Alliance against the corrupt Empire. And because she had diplomatic immunity, she was a vital link in obtaining information for the Rebel cause. That's what she was doing when her path crossed yours... for her adoptive parents always told her to contact me on Tatooine if her problems became desperate."
"256" "LUKE" "But you can't let her get involved now, Ben. Vader will destroy her."
"257" "BEN" "She was not trained in the ways of the Jedi like you, Luke... You must face and destroy Vader!"
"258" "HAN" "Well, look at you, a general, huh?"
"259" "LANDO" "Ah, well, someone must have told them about my little maneuver in the battle of Taanab."
"260" "HAN" "Well, don't look at me, friend. I just said you were a good pilot. I didn't know they were looking for someone to lead this crazy attack."
"261" "LANDO" "I'm surprised they didn't ask you to do that."
"262" "HAN" "Well, who said no. But I'm not crazy. You're the respectable one, remember?"
"263" "MON MOTHMA" "The Emperor has made a critical error and the time has come for our attack."
"264" "MON MOTHMA" "Data brought to us by Bothan spies indicates the exact location of the Emperor's new battle station. We also know that this Death Star's weapons systems are not yet operational. With the Imperial Fleet spread across all over the galaxy in a vain effort to envelop us, it is relatively unprotected. But most important of all, we have learned that the Emperor himself is personally overseeing the final stages of the construction of this Death Star."
"265" "MON MOTHMA" "Many Bothans died to bring us this information. Admiral Ackbar, please."
"266" "ACKBAR" "You can see here the Death Star orbiting the forest moon of Endor. Although this Death Star's weapons systems are not yet operational, the Death Star has a strong defense mechanism. It is protected by an energy shield, which is generated from the forest near Endor's Moon. The shield must be deactivated if any attack is attempted. Once the shield is down, our cruisers will create a perimeter, while the fighters fly into the superstructure and try to knock it out of the main reactor."
"267" "ACKBAR" "General Calrissian volunteered to lead the fighter attack"
"268" "HAN" "Good luck."
"269" "HAN" "You'll need it."
"270" "ACKBAR" "General Madine."
"271" "GENERAL MADINE" "We have stolen a small Imperial ship. Disguised as a cargo ship, and using a secret Imperial code, a strike team will land on the moon and disable the shield generator."
"272" "THREEPIO" "It looks dangerous."
"273" "READ" "I wonder who they found to do this."
"274" "GENERAL MADINE" "General Solo, is your strike team assembled?"
"275" "HAN" "Uh, my team is ready. I don't have a command crew for the shuttle."
"276" "HAN" "Well, it's going to be difficult, friend. I didn't want to speak for you."
"277" "HAN" "It's one."
"278" "READ" "Uh, General...count me in."
"279" "VOICE" "I'm with you too!"
"280" "READ" "What is it?"
"281" "LUKE" "Ask me again sometime."
"282" "HAN" "Luke."
"283" "LUKE" "Hi, Han... Chewie."
"284" "THREEPIO" "\Exciting\ is hardly the word I would use."
"285" "HAN" "Look. I want you to take her. I'm serious. Take her. You need all the help you can get. She's the fastest ship in the fleet."
"286" "LANDO" "It's okay, old friend. You know, I know what she means to you. I'll take good care of her. She-she won't get a scratch. Is that okay?"
"287" "HAN" "Right. I got your promise now. Not a scratch."
"288" "LANDO" "Look, you can go, you pirate."
"289" "LANDO" "Good luck."
"290" "HAN" "You too."
"291" "HAN" "Did you warm her up?"
"292" "LUKE" "Yes, she's coming."
"293" "HAN" "No. I don't think the Empire had Wookiees in mind when they designed it, Chewie."
"294" "READ" "Hey, are you awake?"
"295" "HAN" "Yeah, I just have a funny feeling. Like I won't see her again."
"296" "READ" "Come on, general, let's go."
"297" "HAN" "Alright. Chewie, let's see what this piece of trash can do. Ready, guys?"
"298" "LUKE" "All ready."
"299" "THREEPIO" "Here we go again."
"300" "HAN" "Okay, wait."
"301" "VADER" "What is your order, my Master?"
"302" "EMPEROR" "Send the fleet to the other side of Endor. There it will remain until called."
"303" "VADER" "And the reports of the Rebel fleet massing near Sullust?"
"304" "EMPEROR" "It is not a worry. Soon the Rebellion will be crushed and young Skywalker will be one of us! Your work here is done, my friend. Go to the command ship and await my orders."
"305" "VADER" "Yes, my Master."
"306" "HAN" "If they don't do this, we're going to have to get out of here real quick, Chewie."
"307" "CONTROLLER" "We have you on our screen now. Please identify yourself."
"308" "HAN" "Tydirium Shuttle requesting deflector shield deactivation."
"309" "CONTROLLER" "Shuttle Tydirium, transmit release code for shield pass."
"310" "HAN" "Transmission begins."
"311" "READ" "Now let's find out if that code is worth the price we paid."
"312" "HAN" "It'll work. It'll work."
"313" "LUKE" "Vader is on that ship."
"314" "HAN" "Now don't be nervous, Luke. There are a lot of command ships. Keep your distance, Chewie, but don't look like you're trying to keep your distance."
"315" "HAN" "I don't know. Fly casual."
"316" "LUKE" "I'm putting the mission in danger. I shouldn't have come."
"317" "HAN" "It's your imagination, kid. Come on. Let's keep a little optimism here."
"318" "VADER" "Where is this ship going?"
"319" "PIETT" "Shuttle Tydirium, what is your cargo and destination?"
"320" "PILOT VOICE" "Parts and crew for the forest moon."
"321" "VADER" "Do they have a code clearance?"
"322" "PIETT" "It's an older code, sir, but it checks out. I was about to clear them."
"323" "PIETT" "Should I hold them?"
"324" "VADER" "No. Leave them to me. I'll deal with them myself."
"325" "PIETT" "As you wish, my lord. Continue."
"326" "HAN" "They won't do that, Chewie."
"327" "CONTROLLER" "Shuttle Tydirium, shield deactivation will begin immediately. Follow your current course."
"328" "HAN" "Okay! I said it would work. No problem."
"329" "THREEPIO" "Ah, I told you it was dangerous here."
"330" "READ" "Shall we try to go for a walk?"
"331" "HAN" "It's going to take time. This whole party won't be worth anything if they see us."
"332" "HAN" "Chewie and I will take care of this. You stay here."
"333" "LUKE" "Quietly, there might be more of them out there."
"334" "HAN" "Hey... it's me."
"335" "SCOUT #1" "Go get help! Go!"
"336" "LUKE" "Great. Let's go."
"337" "READ" "Over there! Two more!"
"338" "LUKE" "I see them. Wait, Leia!"
"339" "LUKE" "Quick! Block their comlink. Central switch!"
"340" "HAN" "Hey, wait! Ahhh !"
"341" "LUKE" "Come closer!"
"342" "LUKE" "Stand next to that one!"
"343" "LUKE" "Take him!"
"344" "LUKE" "Keep it up! I'll take these two!"
"345" "THREEPIO" "Oh, General Solo, someone's coming. Oh!"
"346" "HAN" "Luke! Where's Leia?"
"347" "LUKE" "What? She didn't come back?"
"348" "HAN" "I thought she was with you."
"349" "LUKE" "We split up."
"350" "LUKE" "Hey, we better go look for her."
"351" "HAN" "Take the squad ahead. We'll meet at the shield generator at 0300."
"352" "LUKE" "Come on, Artoo. We're going to need your scanners."
"353" "THREEPIO" "Don't worry, Master Luke. We know what to do."
"354" "THREEPIO" "And you said it was beautiful here. Ugh!"
"355" "READ" "Stop it!"
"356" "READ" "I won't hurt you."
"357" "READ" "Well, it looks like I'm stuck here. The problem is, I don't know where it is."
"358" "READ" "Well, maybe you can help me. Come on, sit down."
"359" "READ" "I promise I won't hurt you. Now come here."
"360" "READ" "Okay. Do you want something to eat?"
"361" "READ" "That's right. Let's go. Hmmm?"
"362" "READ" "Look, it's a hat. It won't hurt you. Look. You're a nervous little thing, aren't you?"
"363" "READ" "What is it?"
"364" "SCOUT #l" "Freeze! Come on, get up!"
"365" "SCOUT #1" "Go get your ride and take her back to base."
"366" "SCOUT #2" "Yes, sir."
"367" "READ" "Come on, let's get out of here."
"368" "GUARD" "Stop! The Emperor does not wish to be disturbed at this time."
"369" "VADER" "The Emperor will see me now!"
"370" "GUARD" "The Emperor will see you, now."
"371" "EMPEROR" "I told you to remain on the command ship."
"372" "VADER" "A small rebel force penetrated the shield and landed on Endor."
"373" "EMPEROR" "Yes, I know."
"374" "VADER" "My son is with them."
"375" "EMPEROR" "Are you sure?"
"376" "VADER" "I felt it, my Master."
"377" "EMPEROR" "Strange, that I have not. I wonder if your feelings on this matter are clear, Lord Vader."
"378" "VADER" "They are clear, my Master."
"379" "EMPEROR" "Then you should go to the Moon Sanctuary and wait for them."
"380" "VADER" "Will he come to me?"
"381" "EMPEROR" "I foresaw it. His compassion for you will be your undoing. He will come to you and then you will bring him before me."
"382" "VADER" "As you wish."
"383" "HAN" "Luke! Luke!"
"384" "THREEPIO" "Oh, Master Luke."
"385" "LUKE" "There are two more wrecked speeders back there. And I found this."
"386" "THREEPIO" "I'm afraid Artoo's sensors will find no trace of Princess Leia."
"387" "HAN" "I hope she's okay."
"388" "HAN" "What, Chewie? What? Chewie!"
"390" "HAN" "No, it's just a dead animal, Chewie."
"389" "HAN" "Hey, I don't understand."
"391" "LUKE" "Chewie, wa - wait! No!"
"392" "HAN" "Good job. Great, Chewie! Great! Always thinking with your stomach."
"393" "LUKE" "Will you take it easy? Let's just figure out a way out of this thing. Han, can you reach my lightsaber?"
"394" "HAN" "Yes, of course."
"395" "THREEPIO" "Artoo, I'm not sure this is a good idea. It's a really long dro -o -op!!"
"396" "HAN" " What...? Hey! Point that thing somewhere else."
"397" "HAN" "Hey!"
"398" "LUKE" "Han, don't do that. It'll be okay."
"399" "LUKE" "Chewie, give them your crossbow."
"400" "THREEPIO" "Oh, my head. Oh, my God!"
"401" "LUKE" "Do you understand anything they're saying?"
"402" "THREEPIO" "Ah yes, Master Luke! Remember that I am fluent in over six million forms of communication."
"403" "HAN" "What are you telling them?"
"404" "THREEPIO" "Hello, I think... I may be mistaken. They are using a very primitive dialect. But I believe they think I am some kind of god."
"405" "HAN" "Well, why don't you use your divine influence and get us out of this?"
"406" "THREEPIO" "I apologize, General Solo, but that would not be appropriate."
"407" "HAN" "Appropriate?!"
"408" "THREEPIO" "It is against my programming to impersonate a deity."
"409" "HAN" "Why, you--"
"410" "HAN" "My mistake. He's an old friend of mine."
"411" "HAN" "I have a bad feeling about this."
"412" "HAN" "What did he say?"
"413" "THREEPIO" "I'm quite embarrassed, General Solo, but it looks like you'll be the main course at a banquet in my honor."
"414" "HAN and LUKE" "Read!"
"415" "READ" "Ah!"
"416" "THREEPIO" "Your Royal Highness."
"417" "READ" "But these are my friends. Threepio, tell them they must be freed."
"418" "HAN" "Somehow, I got the feeling it didn't help us much."
"419" "LUKE" "Threepio, tell them that if they don't do what you want, you will get angry and use your magic."
"420" "THREEPIO" "But Master Luke, what magic?"
"421" "LUKE" "Just tell them."
"422" "THREEPIO" "You see, Master Luke; they didn't believe me. Just..."
"423" "THREEPIO" "...like I said they wouldn't. What - what - what's going on! Oh! Oh dear! Oh!”
"424" "THREEPIO" "Put me down! Ee- elp! Master Luke! Artoo! Someone, someone, help! Master Luke, Artoo! Artoo, quick! Do something, someone! Oh! Ohhh!"
"425" "THREEPIO" "Oh, oh, oh, oh! Thank God."
"426" "LUKE" "Thanks, Threepio."
"427" "THREEPIO" "I... I never knew I had it in me."
"428" "THREEPIO" "Yes, Artoo. I was just getting there."
"429" "HAN" "What's going on?"
"430" "READ" "I don't know."
"431" "THREEPIO" "Wonderful! We are now part of the tribe."
"432" "HAN" "Exactly what I always wanted."
"433" "HAN" "Well, a short help is better than no help, Chewie. Thanks. Okay."
"434" "THREEPIO" "He says the scouts will show us the quickest way to the shield generator."
"435" "HAN" "Good. How far is it? Ask him. We need some new supplies too. And try to get our weapons back."
"436" "HAN" "And hurry up, will you? I don't have all day."
"437" "LUKE" "Luke, what's wrong?"
"438" "LUKE" "Leia... do you remember your mother? Your real mother?"
"439" "READ" "Just a little. She died when I was very young."
"440" "LUKE" "What do you remember?"
"441" "READ" "Just... images, really. Feelings."
"442" "LUKE" "Tell me."
"443" "LEIA" "She was very beautiful. Kind, but... sad. Why are you asking me all this?"
