"character" "dialogue"
"54" "THREEPIO" "I have to rest before I collapse. My joints are almost frozen."
"55" "THREEPIO" "What a desolate place this is."
"56" "THREEPIO" "Where are you going?"
"57" "THREEPIO" "Well, I'm not going that way. It's too rocky. It's much easier this way."
"58" "THREEPIO" "What makes you think there are settlements there?"
"59" "THREEPIO" "Don't get technical with me."
"60" "THREEPIO" "What mission? What are you talking about? I've had enough of you! Go that way! You'll be out of order in a day, you shortsighted pile of scrap!"
"61" "THREEPIO" "And don't let me catch you following me around begging for help, because you won't get it."
"62" "THREEPIO" "No more adventures. I'm not going there."
"63" "THREEPIO" "That defective idiot. This is all his fault! He tricked me into going this way, but he won't do any better."
"64" "THREEPIO" "Wait, what is this? A transport! I'm saved!"
"65" "THREEPIO" "Here! Help! Please help!"
"66" "LUKE" "...so I cut my power, turned off the afterburners and got into Deak's wake. I was so close I thought I was going to fry my instruments. Really bad Skyhopper. Uncle Owen was very upset. He grounded me for the rest of the season. You should have been there...it was fantastic."
"67" "BIGGS" "You should take it easy Luke. You might be the hottest pilot this side of Mos Eisley, but those little Skyhoppers are dangerous. Keep it up, and one day, wammo, you'll be nothing more than a dark stain on the underside of a canyon wall."
"68" "LUKE" "Look who's talking. Now that you've been around these giant ships, you're starting to sound like my uncle. You've gone soft in the city..."
"69" "BIGGS" "I missed you kid."
"70" "LUKE" "Well, things haven't been the same since you left, Biggs. It's been so... quiet."
"71" "BIGGS" "Luke, I didn't come back just to say goodbye... I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want someone know."
"72" "LUKE" "What are you talking about?"
"73" "BIGGS" "I made some friends at the Academy... when our frigate goes to one of the core systems, we'll jump ship and join the Alliance..."
"74" "LUKE" "Join the Rebellion?! You're kidding! How?"
"75" "BIGGS" "Calm down! You have a mouth bigger than a meteor crater!"
"76" "LUKE" "Sorry. I'm quiet. Listen to how quiet I am. You can barely hear me..."
"77" "BIGGS" "My friend has a friend at Bestine who can help us make contact."
"78" "LUKE" "always trying to find them."
"79" "BIGGS" "I know it's a long shot, but if I don't find them, I'll do what I can on my own... It's what we've always talked about. Luke, I'm not going to wait for the Empire to put me in trouble. service. The Rebellion is spreading and I want to be on the right side - the side I believe in."
"80" "LUKE" "And I'm stuck here..."
"81" "BIGGS" "I thought you were going to the Academy next semester. You'll have a chance to climb out of this rock."
"82" "LUKE" "Not likely! I had to cancel my membership. There's been a lot of unrest among the Sand People since you left... they've even raided the outskirts of Anchorhead."
"83" "BIGGS" "Your uncle could stop an entire colony of Sand People with a blaster."
"84" "LUKE" "I know, but he's got enough vaporizers to make the place worth it. He needs me for just one more season. I can't leave him now."
"85" "BIGGS" "I feel for you, Luke, you're going to have to learn what seems important or what really is important. What's the point of all your uncle's work if it's taken over by the Empire?... You know that they are beginning to nationalize commerce in the central systems... it won't be long before your uncle is just a tenant, slaving away for the greater glory of the Empire.
"86" "LUKE" "It couldn't happen here. You said so yourself. The Empire won't bother with that rock."
"87" "BIGGS" "Things always change."
"88" "LUKE" "I'd like to go... Are you going to stay here long?"
"89" "BIGGS" "No, I'm leaving in the morning..."
"90" "LUKE" "Then I guess I won't see you."
"91" "BIGGS" "Maybe one day... I'll keep an eye out."
"92" "LUKE" "Well, I'll be at the Academy next season... after that who knows. I won't be drafted into the Imperial Starfleet, that's for sure... Take care of yourself, you'll always be the best friend I have I have."
"93" "BIGGS" "See you later, Luke."
"94" "THREEPIO" "Artoo-Detoo! It's you! It's you!"
"95" "FIRST TROOPER" "Someone was in the capsule. The tracks go in this direction."
"96" "SECOND SOLDIER" "Look, sir - droids."
"97" "THREEPIO" "Wake up! Wake up!"
"98" "THREEPIO" "We are doomed."
"99" "THREEPIO" "Do you think they're going to melt us?"
"100" "THREEPIO" "Don't shoot! Don't shoot! Will this ever end?"
"101" "BERU" "Luke, tell Owen if he can get a translator to make sure he speaks bocce ball."
"102" "LUKE" "Looks like we don't have much of a choice, but I'll remind you."
"103" "OWEN" "I don't need a protocol droid."
"104" "THREEPIO" "Sir - not in an environment like this - that is why I have also been programmed for over thirty secondary functions that..."
"105" "OWEN" "What I really need is a droid that understands the binary languages ​​of moisture vaporizers."
"106" "THREEPIO" "Vaporizers! Sir - My first job was programming binary freight elevators... very similar to your vaporizers. You could say..."
"107" "OWEN" "Do you speak bocce?"
"108" "THREEPIO" "Of course I can, sir. It's like a second language to me... I'm so fluent in bocce..."
"109" "OWEN" "Alright; shut up! I'll take this one."
"110" "THREEPIO" "Shut up, sir."
"111" "OWEN" "Luke, take these two to the garage, will you? I want you to clean them both up before dinner."
"112" "LUKE" "But I was going into Toshi Station to get some power converters..."
"113" "OWEN" "You can waste time with your friends when your chores are done. Now, come on, get to work!"
"114" "LUKE" "Alright, let's go! And Red, let's go. Well, come on, Red, let's go."
"115" "LUKE" "Uncle Owen..."
"116" "OWEN" "Yes?"
"117" "LUKE" "This R2 unit has a bad motivator. Look!"
"118" "OWEN" "Hey, what are you trying to push on us?"
"119" "THREEPIO" "Excuse me, sir, but this R2 unit is in excellent condition. A real bargain."
"120" "LUKE" "Uncle Owen..."
"121" "OWEN" "Yes?"
"122" "LUKE" "And that one?"
"123" "OWEN" "And that blue one? Let's take that one."
"124" "LUKE" "Yeah, take it off."
"125" "THREEPIO" "Uh, I'm sure you'll be very pleased with this, sir. He really is in first-class condition. I've worked with him before. Here he comes."
"126" "LUKE" "Okay, let's go."
"127" "THREEPIO" "Now, don't forget this! Why I should stick my neck out for you is far beyond my ability!"
"128" "THREEPIO" "Thanks to the manufacturer! This oil bath is going to be so good. I have such a bad case of dust contamination I can barely move!"
"129" "LUKE" "It's not fair. Oh, Biggs is right. I'm never getting out of here!"
"130" "THREEPIO" "Is there anything I can do to help?"
"131" "LUKE" "Well, unless you can alter time, speed up the harvest, or teleport me out of this rock!"
"132" "THREEPIO" "I don't think so, sir. I'm just a droid and I don't have much knowledge about such things. Not on this planet, anyway. In fact, I'm not even sure which planet I'm on."
"133" "LUKE" "Well, if there's a bright center in the universe, you're on the farthest planet."
"134" "THREEPIO" "I understand, sir."
"135" "LUKE" "Uh, you can call me Luke."
"136" "THREEPIO" "I understand, Mr. Luke."
"137" "LUKE" "Just Luke."
"138" "THREEPIO" "And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo."
"139" "LUKE" "Hello."
"140" "LUKE" "You've got a lot of carbon score here. Looks like you boys have seen a lot of action."
"141" "THREEPIO" "With everything we've been through, sometimes I'm surprised we're in as good a condition as we are, what with the Rebellion and everything."
"142" "LUKE" "Do you know about the Rebellion against the Empire?"
"143" "THREEPIO" "That's how we came into your service, if you know what I mean, sir."
"144" "LUKE" "Have you been in many battles?"
"145" "THREEPIO" "Several, I think. There really isn't much to tell. I'm not much more than an interpreter, and I'm not very good at telling stories. Well, not at making them interesting, anyway. anyway."
"146" "LUKE" "Well, my little friend, you've got something pretty good here. Were you on a star cruiser or..."
"147" "READ" "Help me, Obi-Wan Kenobi. You are my only hope."
"148" "LUKE" "What is this?"
"149" "THREEPIO" "What is what?!? He asked you a question... What is this?"
"150" "READ" "Help me, Obi-Wan Kenobi. You are my only hope. Help me, Obi-Wan Kenobi. You are my only hope."
"151" "THREEPIO" "Ah, he says it's nothing, sir. Just a malfunction. Old data. Don't pay attention to it."
"152" "LUKE" "Who is she? She's beautiful."
"153" "THREEPIO" "I guess I'm not sure, sir."
"154" "READ" "Help me, Obi-Wan Kenobi..."
"155" "THREEPIO" "I believe she was a passenger on our last voyage. A person of some importance, sir - I believe. Our captain was connected with..."
"156" "LUKE" "Is there anything else on this recording?"
"157" "THREEPIO" "Behave yourself, Artoo. You're going to get us into trouble. It's okay, you can trust him. He's our new master."
"158" "THREEPIO" "He says it's the property of Obi-Wan Kenobi, a resident around here. And it's a private message for him. Frankly, sir, I don't know what he's talking about. Our last master was Captain Antilles , but with what we've been through, this little R2 unit has become a bit eccentric."
"159" "LUKE" "Obi-Wan Kenobi? Does he mean old Ben Kenobi?"
"160" "THREEPIO" "Excuse me, sir, but do you know what he's talking about?"
"161" "LUKE" "Well, I don't know anyone named Obi-Wan, but old Ben lives beyond the dune sea. He's kind of a weird old hermit."
"162" "LUKE" "I wonder who she is. It looks like she's in trouble. I'd better replay the whole thing."
"163" "THREEPIO" "He says that the restraining screw caused a short circuit in his recording system. He suggests that if you remove the screw, he will be able to play the entire recording."
"164" "LUKE" "Hm? Oh, yeah, well, I guess you're too small to run away from me if I take it off! Okay."
"165" "LUKE" "There it is."
"166" "LUKE" "Well, wait a minute. Where did she go? Bring her back! Play the entire message."
"167" "THREEPIO" "I'm playing. What are you carrying inside your rusty guts!"
"168" "AUNT BERU" "Luke? Luke! Come to dinner!"
"169" "LUKE" "Okay, I'll be right there, Aunt Beru."
"170" "THREEPIO" "I'm sorry, sir, but he seems to have picked up a slight vibration."
"171" "LUKE" "Well, see what you can do with him. I'll be right back."
"172" "THREEPIO" "Just reconsider throwing that message at him."
"173" "THREEPIO" "No, I don't think he likes you at all."
"174" "THREEPIO" "No, I don't like you either."
"175" "LUKE" "You know, I think that R2 unit we bought might have been stolen."
"176" "OWEN" "What makes you think that?"
"177" "LUKE" "Well, I found a recording while I was cleaning him. It says it belongs to someone named Obi-Wan Kenobi."
"178" "LUKE" "I thought he might be referring to Ben. Do you know what he's talking about? Well, I wonder if he's related to Ben."
"179" "OWEN" "That old man is just a crazy wizard. Tomorrow I want you to take that R2 unit to Anchorhead and have its memory wiped. That will be the end of it. It belongs to us now."
"180" "LUKE" "But what if this Obi-Wan comes looking for you?"
"181" "OWEN" "He won't, I don't think he exists anymore. He died about the same time as your father."
"182" "LUKE" "Did he know my father?"
"183" "OWEN" "I told you to forget it. Your only concern is getting the new droids ready for tomorrow. In the morning I want them on the South Summit working on those capacitors."
"184" "LUKE" "Yes, sir. I think these new droids are going to work out well. In fact, I, uh, was also thinking about our deal about me staying on for another season. And if these new droids work out, I want to broadcast my application to the Academy this year."
"185" "OWEN" "You mean the next semester before the harvest?"
"186" "LUKE" "Of course, there are more than enough droids."
"187" "OWEN" "The harvest is when I need you most. Just one more season. This year we'll do enough at the harvest so I can hire a few more hands. And then you can go to the Academy the year he comes."
"188" "OWEN" "You must understand that I need you here, Luke."
"189" "LUKE" "But it's a whole year."
"190" "OWEN" "Look, it's just one more season."
"191" "LUKE" "Yeah, that's what you said last year when Biggs and Tank left."
"192" "AUNT BERU" "Where are you going?"
"193" "LUKE" "Looks like I'm not going anywhere. I have to finish cleaning these droids."
"194" "AUNT BERU" "Owen, he can't stay here forever. Most of his friends are gone. It means a lot to him."
"195" "OWEN" "I'll make it up to him next year. I promise."
"196" "AUNT BERU" "Luke's not a farmer, Owen. He's got too much of his father in him."
"197" "OWEN" "That's what I'm afraid of."
"198" "LUKE" "What are you doing hiding there?"
"199" "THREEPIO" "It wasn't my fault, sir. Please don't deactivate me. I told him not to go, but he's faulty, faulty; he kept babbling about his mission."
"200" "LUKE" "Oh no!"
"201" "THREEPIO" "That R2 unit has always been a problem. Those astrodroids are getting out of control. Even I can't understand their logic sometimes."
"202" "LUKE" "How could I be so stupid? He's nowhere in sight. Damn!"
"203" "THREEPIO" "Forgive me, sir, but couldn't we go after him?"
"204" "LUKE" "It's too dangerous with all the Sand People around. We'll have to wait until morning."
"205" "OWEN" "Luke, I'm turning off the power tonight."
"206" "LUKE" "Alright, I'll be there in a few minutes. Dude, I'll get it."
"207" "LUKE" "You know that little droid is going to cause me a lot of trouble."
"208" "THREEPIO" "Oh, he's excellent at that, sir."
"209" "OWEN" "Luke? Luke? Luke? Where could he be loitering right now!"
"210" "OWEN" "Did you see Luke this morning?"
"211" "AUNT BERU" "He said he had some things to do before starting today, so he left early."
"212" "OWEN" "Uh? He took those two new droids with him?"
"213" "AUNT BERU" "I think so."
"214" "OWEN" "Well, he better have those units in the south lane repaired by noon or there's going to be hell to pay!"
"215" "LUKE" "What do you mean."
"216" "LUKE" "Old Ben Kenobi lives this way somewhere, but I don't see how that R2 unit could have gotten this far. We must have lost him. Uncle Owen won't take it very well. ."
"217" "THREEPIO" "Sir, it would help if you told him it was my fault."
"218" "LUKE" "Of course. He needs you. He'd probably only deactivate you for a day or two..."
"219" "THREEPIO" "Disable! Well, on the other hand, if you hadn't removed its retaining screw..."
"220" "LUKE" "Wait, there's something dead ahead on the scanner. It looks like our droid... stepped on the gas."
"221" "LUKE" "Hey, wow, where do you think you're going?"
"222" "THREEPIO" "Master Luke here is your rightful owner. Let's not have any more of this Obi-Wan Kenobi nonsense... and don't talk to me about your mission either. You're lucky he doesn't blow you up in a million pieces right here."
"223" "LUKE" "Well, come on. It's getting late. I just hope we can get back before Uncle Owen really explodes."
"224" "THREEPIO" "If you don't mind me saying so, sir, I think you should deactivate the little fugitive until you get him back to your workshop."
"225" "LUKE" "No, he won't try anything."
"226" "LUKE" "What's wrong with him now?"
"227" "THREEPIO" "Oh my... sir, he says there are several creatures approaching from the southeast."
"228" "LUKE" "Sand Person! Or worse! Come on, let's take a look. Let's go."
"229" "LUKE" "There are two Banthas down there, but I don't see any... wait a second, they're Sand People. I can see one of them now."
"230" "BEN" "Hello! Come here my little friend. Don't be afraid."
"231" "BEN" "Don't worry, he'll be fine."
"232" "LUKE" "What happened?"
"233" "BEN" "Rest up son, you've had a busy day. You're lucky you're still in one piece."
"234" "LUKE" "Ben? Ben Kenobi! Boy, am I glad to see you!"
"235" "BEN" "The Jundland Wastes are not to be traversed lightly. Tell me, young Luke, what brings you here?"
"236" "LUKE" "Ah, this little droid! I think he's looking for his old master... I've never seen such devotion in a droid before... it seems there's no stopping him. He claims to be the property of an Obi-Wan Kenobi. Is he a relative of yours? Do you know who he's talking about?"
"237" "BEN" "Obi-Wan Kenobi... Obi-Wan? That's a name I haven't heard in a long time... a long time."
"238" "LUKE" "I think my uncle knew him. He said he was dead."
"239" "BEN" "Oh, he's not dead, no... not yet."
"240" "LUKE" "You know him!"
"241" "BEN" "Well, of course, of course I know him. He's me! I haven't used the name Obi-Wan since oh, before you were born."
"242" "LUKE" "Then the droid belongs to you."
"243" "BEN" "I don't remember ever having a droid. Very interesting..."
"244" "BEN" "I think we better go inside. The Sand People are easily scared, but they will soon be back and in greater numbers."
"245" "LUKE" "...Threepio!"
"246" "THREEPIO" "Where am I? I must have made a bad move..."
"247" "LUKE" "Can you stand? We have to get out of here before the Sand People return."
"248" "THREEPIO" "I don't think I can make it. Keep going, Master Luke. There's no point in you putting yourself at risk for my sake. I'm finished."
"249" "LUKE" "No, you're not. What kind of talk is this?"
"250" "BEN" "Quick, son... they're on the move."
"251" "LUKE" "No, my father didn't fight in the wars. He was a navigator on a spice freighter."
"252" "BEN" "That's what your uncle told you. He didn't stick to his father's ideals. I thought he should have stayed here and not gotten involved."
"253" "LUKE" "Did you fight in the Clone Wars?"
"254" "BEN" "Yes, I was once a Jedi Knight just like your father."
"255" "LUKE" "I wish I had met him."
"256" "BEN" "He was the best star pilot in the galaxy, and a cunning warrior. I understand that you also became a good pilot. And he was a good friend. Which reminds me..."
"257" "BEN" "I have something here for you. Your father wanted you to have it when you were old enough, but your uncle wouldn't allow it. He was afraid you might follow old Obi-Wan on some damn idiotic idealistic crusade like your father did."
"258" "THREEPIO" "Sir, if you won't need me, I'll close up for a while."
"259" "LUKE" "Sure, go ahead."
"260" "LUKE" "What is it?"
"261" "BEN" "Your father's lightsaber. This is a Jedi Knight's weapon. Not as clumsy or random as a blaster."
"262" "BEN" "An elegant weapon for a more civilized time. For more than a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic. Before the dark times, before the Empire."
"263" "LUKE" "How did my father die?"
"264" "BEN" "A young Jedi named Darth Vader, who was my pupil until he turned evil, helped the Empire hunt down and destroy the Jedi Knights. He betrayed and murdered his father. Now the Jedi are anything but extinct. Vader was seduced by the dark side of the Force."
"265" "LUKE" "The Force?"
"266" "BEN" "Well, the Force is what gives the Jedi their power. It is an energy field created by all living things. It surrounds us and penetrates us. It unites the galaxy."
"267" "BEN" "Now, let's see if we can't find out what you are, my little friend. And where you come from."
"268" "LUKE" "I saw part of the message that he was..."
"269" "BEN" "Looks like I found it."
"270" "READ" "General Kenobi, years ago you served my father in the Clone Wars. Now he begs you to help him in his fight against the Empire. I regret that I cannot present my father's request to you in person, but my ship has fallen under attack and I fear that my mission to bring him to Alderaan has failed. I have placed information vital to the survival of the Rebellion in the memory systems of this R2 unit. My father will know how to recover You must deliver this droid safely to him on Alderaan. This is our most desperate hour. Help me, Obi-Wan Kenobi, you are my only hope."
"271" "BEN" "You must learn the ways of the Force if you want to come with me to Alderaan."
"272" "LUKE" "Alderaan? I'm not going to Alderaan. I have to go home. It's late, I'm ready for it."
"273" "BEN" "I need your help, Luke. I'm getting too old for this kind of thing. She needs your help."
"274" "LUKE" "I can't get involved! I have work to do! It's not that I like the Empire. I hate it! But there's nothing I can do about it now. It's a long way from here."
"275" "BEN" "It's your uncle speaking."
"276" "LUKE" "Oh, God, my uncle. How am I supposed to explain this?"
"277" "BEN" "Learn about the Force, Luke."
"278" "LUKE" "Look, I can take you to Anchorhead. You can take a shuttle there to Mos Eisley or wherever you're going."
"279" "BEN" "You must do what you think is right, of course."
"280" "TAGGE" "Until this battle station is fully operational, we are vulnerable. The Rebel Alliance is very well equipped. They are more dangerous than you realize."
"281" "MOTTI" "Dangerous to your Starfleet, Commander; not to this battle station!"
"282" "TAGGE" "The Rebellion will continue to gain support in the Imperial Senate as long as..."
"283" "TARKIN" "The Imperial Senate will no longer be a concern to us. I have just received word that the Emperor has dissolved the council permanently. The last remnants of the Old Republic have been swept away."
"284" "TAGGE" "That's impossible! How will the Emperor maintain control without bureaucracy?"
"285" "TARKIN" "Regional governors now have direct control over territories. Fear will keep local systems in line. Fear of this battle station."
"286" "TAGGE" "What about the Rebellion? If the Rebels have obtained a complete technical readout of this station, it is possible, though unlikely, that they will find a weakness and exploit it."
"287" "VADER" "The plans you refer to will soon be back in our hands."
"288" "MOTTI" "Any attack made by the rebels against this station would be a futile gesture, no matter what technical data they have obtained. This station is now the supreme power of the universe. I suggest we use it!"
"289" "VADER" "Don't be too proud of this technological terror you've built. The ability to destroy a planet is insignificant compared to the power of the Force."
"290" "MOTTI" "Do not try to frighten us with your sorcerer ways, Lord Vader. Your sad devotion to that ancient religion did not help you conjure up the stolen data tapes, nor did it give you enough clairvoyance to find the Rebel's hideout. strong..."
"291" "VADER" "I find your lack of faith disturbing."
"292" "TARKIN" "Enough of this! Vader, let him go!"
"293" "VADER" "As you wish."
"294" "TARKIN" "This fight is futile. Lord Vader will provide us with the location of the Rebel stronghold when this station is operational. We will then crush the Rebellion with one swift blow."
"295" "LUKE" "Looks like the Sand People did it, all right. Look, here are gaffes, bantha tracks. It's just... I've never heard of them hitting something this big before."
"296" "BEN" "They didn't. But we must think they did. These tracks are side by side. Sand People always walk in single file to hide their numbers."
"297" "LUKE" "These are the same Jawas that sold Artoo and Threepio to us."
"298" "BEN" "And those blast points, too accurate for the Sand People. Only Imperial storm troopers are so accurate."
"299" "LUKE" "Why do Imperial troops want to kill Jawas?"
"300" "LUKE" "If they tracked the robots here, they might have found out who they sold them to. And that would get them back home!"
"301" "BEN" "Wait, Luke! It's too dangerous."
"302" "LUKE" "Uncle Owen! Aunt Beru! Uncle Owen!"
"303" "VADER" "And now, Your Highness, we will discuss the location of your hidden Rebel base."
"304" "BEN" "There's nothing you could have done, Luke, if you were there. You would have been killed too, and the droids would now be in the hands of the Empire."
"305" "LUKE" "I want to go with you to Alderaan. There is nothing here for me now. I want to learn the ways of the Force and become a Jedi like my father."
"306" "BEN" "Mos Eisley Spaceport. You will never find a more wretched hive of scum and villainy. We must be cautious."
"307" "TROOPER" "How long have you had these droids?"
"308" "LUKE" "About three or four seasons."
"309" "BEN" "They're for sale if you want them."
"310" "SOLDIER" "Let me see your ID."
"311" "BEN" "You don't need to see his ID."
"312" "TROOPER" "We don't need to see his identification."
"313" "BEN" "searching."
"314" "TROOPER" "These are not the droids we are looking for."
"315" "BEN" "He can handle his business."
"316" "TROOPER" "You can go about your business."
"317" "BEN" "Go ahead."
"318" "TROOPER" "Go ahead. Go ahead."
"319" "THREEPIO" "I can't stand those Jawas. Disgusting creatures."
"320" "LUKE" "Keep going, keep going. I can't understand how we got past those soldiers. I thought we were dead."
"321" "BEN" "The Force can have a strong influence on the weak-minded. You will find it a powerful ally."
"322" "LUKE" "Do you really think we're going to find a pilot here who will take us to Alderaan?"
"323" "BEN" "Well, most of the best freighter pilots can be found here. Just be careful. This place can be a little difficult."
"324" "LUKE" "I'm ready for anything."
"325" "THREEPIO" "Come on, Artoo."
"326" "BARTENDER" "We don't serve their kind here!"
"327" "LUKE" "What?"
"328" "BARTENDER" "You droids. They'll have to wait outside. We don't want them here."
"329" "LUKE" "Listen, why don't you wait by the speeder. We don't want any trouble."
"330" "THREEPIO" "I completely agree with you, sir."
"331" "CREATURE" "Negola dewaghi lumberjack?!?"
"332" "HUMAN" "He doesn't like you."
"333" "LUKE" "I'm sorry."
"334" "HUMAN" "I don't like you either"
"335" "HUMAN" "Don't insult us. Just watch yourself. We are wanted men. I have the death sentence in twelve systems."
"336" "LUKE" "I'll be careful what."
"337" "HUMAN" "You will be dead."
"338" "BEN" "This little one isn't worth the effort. Come, let me buy you something..."
"339" "BARTENDER" "No detonators! No detonators!"
"340" "BEN" "This is Chewbacca. He's a first mate on a ship that can meet our needs."
"341" "THREEPIO" "I don't like the look of this."
"342" "HAN" "Han Solo. I'm the captain of the Millennium Falcon. Chewie here tells me you're looking for passage to the Alderaan system."
"343" "BEN" "Yes, indeed. If it's a fast ship."
"344" "HAN" "Fast ship? Have you never heard of the Millennium Falcon?"
"345" "BEN" "Should it have?"
"346" "HAN" "It's the ship that made the Kessel run in less than twelve parsecs!"
"347" "HAN" "I outpaced the Imperial ships, not the local cruisers, mind you. I'm talking about the big Corellian ships now. She's fast enough for you, old man. What's the payload?"
"348" "BEN" "Passengers only. Me, the boy, two droids, and no questions."
"349" "HAN" "What is it? Some kind of local problem?"
"350" "BEN" "Let's just say we'd like to avoid any Imperial involvement."
"351" "HAN" "Well, that's the real trick, isn't it? And it'll cost you something extra. Ten thousand up front."
"352" "LUKE" "Ten thousand? We could almost buy our own ship for that!"
"353" "HAN" "But who's going to drive, boy! You?"
"354" "LUKE" "You bet I could. I'm not that bad of a pilot! We don't have to sit here and listen..."
"355" "BEN" "We don't have much with us. But we can pay you two thousand now, fifteen more when we get to Alderaan."
"356" "HAN" "Seventeen, huh!"
"357" "HAN" "Okay. You guys got a ship. We'll leave as soon as you're ready. Dock 94."
"358" "BEN" "Ninety-four."
"359" "HAN" "It looks like someone is starting to take an interest in your work."
"360" "TROOPER" "Alright, let's check."
"361" "HAN" "Seventeen thousand! These guys must be really desperate. This could really save my neck. Get back to the ship and get it ready."
"362" "BEN" "You're going to have to sell your speeder."
"363" "LUKE" "It's okay. I'm never going back to this planet again."
"364" "GREEDO" "Going somewhere, Solo?"
"365" "HAN" "Yes, Greedo. Actually, I was going to see your boss. Tell Jabba I have his money."
"366" "GREEDO" "It's too late. You should have paid him when you had the chance. Jabba has put a price on your head, so big that every bounty hunter in the galaxy will be looking for you. I found you first."
"367" "HAN" "Yes, but this time I got the money."
"368" "GREEDO" "If you give it to me, I might forget I ever found you."
"369" "HAN" "I don't have that on me. Tell Jabba..."
"370" "GREEDO" "Jabba is through with you. He has no time for smugglers who drop off their shipments at the first sign of an Imperial cruiser."
"371" "HAN" "Even I get approached sometimes. Do you think I had a choice?"
"372" "GREEDO" "You can tell Jabba that. He can only take your ship."
"373" "HAN" "Over my dead body."
"374" "GREEDO" "That's the idea I've been looking forward to killing you for a long time."
"375" "HAN" "Yeah, I bet so."
"376" "HAN" "Sorry for the mess."
